date,ds
2016.12.18,13
2016.12.25,26
2017.1.1,12
2017.1.8,12
2017.1.15,12
2017.1.22,26
2017.1.29,47
2017.2.5,35
2017.2.12,35
2017.2.19,35
2017.2.26,24
2017.3.5,24
2017.3.12,12
2017.3.19,35
2017.3.26,35
2017.4.2,34
2017.4.9,23
2017.4.16,34
2017.4.23,34
2017.4.30,0
2017.5.7,45
2017.5.14,26
2017.5.21,26
2017.5.28,51
2017.6.4,38
2017.6.11,26
2017.6.18,38
2017.6.25,26
2017.7.2,26
2017.7.9,0
2017.7.16,38
2017.7.23,50
2017.7.30,38
2017.8.6,12
2017.8.13,25
2017.8.20,63
2017.8.27,64
2017.9.3,25
2017.9.10,25
2017.9.17,25
2017.9.24,13
2017.10.1,0
2017.10.8,24
2017.10.15,37
2017.10.22,25
2017.10.29,24
2017.11.5,58
2017.11.12,11
2017.11.19,0
2017.11.26,11
2017.12.3,22
2017.12.10,57
2017.12.17,35
2017.12.24,24
2017.12.31,23
2018.1.7,44
2018.1.14,0
2018.1.21,34
2018.1.28,68
2018.2.4,45
2018.2.11,25
2018.2.18,34
2018.2.25,34
2018.3.4,23
2018.3.11,34
2018.3.18,44
2018.3.25,56
2018.4.1,22
2018.4.8,33
2018.4.15,22
2018.4.22,33
2018.4.29,11
2018.5.6,42
2018.5.13,21
2018.5.20,0
2018.5.27,43
2018.6.3,65
2018.6.10,10
2018.6.17,43
2018.6.24,55
2018.7.1,32
2018.7.8,43
2018.7.15,33
2018.7.22,33
2018.7.29,11
2018.8.5,52
2018.8.12,33
2018.8.19,11
2018.8.26,11
2018.9.2,32
2018.9.9,42
2018.9.16,33
2018.9.23,12
2018.9.30,22
2018.10.7,34
2018.10.14,33
2018.10.21,33
2018.10.28,33
2018.11.4,65
2018.11.11,22
2018.11.18,75
2018.11.25,44
2018.12.2,33
2018.12.9,22
2018.12.16,23
2018.12.23,0
2018.12.30,35
2019.1.6,0
2019.1.13,44
2019.1.20,11
2019.1.27,11
2019.2.3,12
2019.2.10,32
2019.2.17,32
2019.2.24,11
2019.3.3,11
2019.3.10,0
2019.3.17,64
2019.3.24,43
2019.3.31,32
2019.4.7,53
2019.4.14,21
2019.4.21,54
2019.4.28,54
2019.5.5,87
2019.5.12,42
2019.5.19,41
2019.5.26,21
2019.6.2,41
2019.6.9,61
2019.6.16,84
2019.6.23,52
2019.6.30,53
2019.7.7,63
2019.7.14,32
2019.7.21,57
2019.7.28,57
2019.8.4,34
2019.8.11,54
2019.8.18,63
2019.8.25,42
2019.9.1,20
2019.9.8,44
2019.9.15,40
2019.9.22,40
2019.9.29,40
2019.10.6,51
2019.10.13,40
2019.10.20,40
2019.10.27,30
2019.11.3,50
2019.11.10,60
2019.11.17,40
2019.11.24,78
2019.12.1,77
2019.12.8,38
2019.12.15,92
2019.12.22,10
2019.12.29,38
2020.1.5,53
2020.1.12,53
2020.1.19,29
2020.1.26,36
2020.2.2,72
2020.2.9,44
2020.2.16,50
2020.2.23,23
2020.3.1,39
2020.3.8,24
2020.3.15,54
2020.3.22,38
2020.3.29,52
2020.4.5,51
2020.4.12,51
2020.4.19,84
2020.4.26,53
2020.5.3,52
2020.5.10,57
2020.5.17,59
2020.5.24,61
2020.5.31,66
2020.6.7,79
2020.6.14,74
2020.6.21,58
2020.6.28,45
2020.7.5,30
2020.7.12,84
2020.7.19,23
2020.7.26,39
2020.8.2,54
2020.8.9,54
2020.8.16,47
2020.8.23,99
2020.8.30,68
2020.9.6,48
2020.9.13,49
2020.9.20,44
2020.9.27,69
2020.10.4,16
2020.10.11,85
2020.10.18,68
2020.10.25,35
2020.11.1,32
2020.11.8,34
2020.11.15,34
2020.11.22,74
2020.11.29,33
2020.12.6,55
2020.12.13,40
2020.12.20,33
2020.12.27,42
2021.1.3,65
2021.1.10,40
2021.1.17,57
2021.1.24,8
2021.1.31,16
2021.2.7,26
2021.2.14,16
2021.2.21,49
2021.2.28,24
2021.3.7,23
2021.3.14,70
2021.3.21,52
2021.3.28,44
2021.4.4,65
2021.4.11,44
2021.4.18,81
2021.4.25,44
2021.5.2,38
2021.5.9,100
2021.5.16,59
2021.5.23,67
2021.5.30,66
2021.6.6,58
2021.6.13,72
2021.6.20,39
2021.6.27,31
2021.7.4,46
2021.7.11,43
2021.7.18,60
2021.7.25,30
2021.8.1,38
2021.8.8,54
2021.8.15,69
2021.8.22,60
2021.8.29,53
2021.9.5,16
2021.9.12,56
2021.9.19,36
2021.9.26,16
2021.10.3,36
2021.10.10,32
2021.10.17,32
2021.10.24,23
2021.10.31,69
2021.11.7,59
2021.11.14,37
2021.11.21,47
2021.11.28,28
2021.12.5,59
2021.12.12,10